"","term","df","sumsq","meansq","statistic","p.value","p_BH","significant"
"4057","X65325_214.18_8.473_NA",6,13.5420361014048,2.2570060169008,2.35988665473451,0.0323696612474859,0.0725425092586004,"Non-significant"
"4058","X51871_468.222_6.723_NA",6,13.5395792347695,2.25659653912825,2.35942347700848,0.0324012248730191,0.0725953515390561,"Non-significant"
"4059","X88065_774.273_11.538_NA",6,13.5323396762323,2.25538994603871,2.35805872822057,0.0324943988111313,0.0727861724540049,"Non-significant"
"4060","X76686_475.324_9.952_NA;Spectral Match to .beta.-Cryptoxanthin from NIST14",6,13.5268391563548,2.25447319272581,2.35702189015472,0.0325653576810106,0.0729271507477214,"Non-significant"
"4061","X1107_244.958_0.686_NA",6,13.5261609175298,2.25436015292163,2.35689404813451,0.0325741172035849,0.0729288041406043,"Non-significant"
"4062","X47478_398.217_6.138_NA",6,13.5246626405218,2.25411044008696,2.3566116398838,0.0325934753704015,0.0729541797310907,"Non-significant"
"4063","X62997_305.21_8.118_NA",6,13.5188156141886,2.2531359356981,2.35550959054649,0.0326691230260874,0.0731055049355615,"Non-significant"
"4064","X28704_442.258_4.577_NA",6,13.5136308061675,2.25227180102792,2.35453242146757,0.0327363396051916,0.0732378936246069,"Non-significant"
"4065","X29325_460.181_4.494_NA",6,13.5095402603636,2.25159004339393,2.35376152873092,0.0327894607585527,0.0733386905822291,"Non-significant"
"4066","X88256_552.462_11.597_NA",6,13.5030765695345,2.25051276158908,2.35254347745319,0.0328735637839758,0.0735087166561505,"Non-significant"
"4067","X58589_319.153_7.525_NA",6,13.5018511344393,2.25030852240655,2.35231256086482,0.0328895312717862,0.0735263384123629,"Non-significant"
"4068","X82802_506.347_10.749_NA",6,13.4980389352781,2.24967315587968,2.35159422561154,0.03293925056869,0.0736193869642403,"Non-significant"
"4069","X75417_609.472_9.824_NA",6,13.4913308646565,2.24855514410942,2.35033029969462,0.0330269080019982,0.0737971608636441,"Non-significant"
"4070","X92319_754.561_13.04_NA",6,13.4875654796236,2.24792757993726,2.34962087565251,0.0330762070115415,0.0738814239898331,"Non-significant"
"4071","X73698_569.348_9.628_NA",6,13.4872095387247,2.24786825645411,2.34955381564634,0.0330808707723945,0.0738814239898331,"Non-significant"
"4072","X89377_554.477_11.994_NA",6,13.478776388446,2.24646273140767,2.34796507694738,0.0331915461998643,0.074097549475431,"Non-significant"
"4073","X28901_416.191_4.586_NA",6,13.478594138405,2.24643235640083,2.34793074427067,0.0331939418184591,0.074097549475431,"Non-significant"
"4074","X41999_300.18_5.705_NA;Massbank:NA000814 Artemisinin",6,13.4772964372995,2.24621607288326,2.34768628257454,0.0332110043329819,0.0741033134650679,"Non-significant"
"4075","X87219_924.567_11.294_NA;(2S,3S,4S,5R,6R)-6-[[(3S,4R,6aR,6bS,8aS,14bR)-4-(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-8a-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",6,13.4771580229922,2.24619300383203,2.34766020823228,0.0332128247217501,0.0741033134650679,"Non-significant"
"4076","X59187_371.184_7.702_NA",6,13.4756106670907,2.24593511118178,2.34736872191678,0.0332331814578223,0.074130541171374,"Non-significant"
"4077","X69418_379.211_9.108_NA",6,13.474046018102,2.24567433635034,2.34707398352222,0.0332537774927092,0.0741582891743223,"Non-significant"
"4078","X63953_546.162_8.263_NA",6,13.4689736054064,2.2448289342344,2.34611851373886,0.0333206290955951,0.0742891514804196,"Non-significant"
"4079","X74534_297.205_9.719_NA",6,13.4652609184539,2.24421015307565,2.34541920708757,0.0333696394265108,0.0743801818254073,"Non-significant"
"4080","X84903_311.2_10.872_NA",6,13.4643881380763,2.24406468967939,2.34525481827051,0.0333811705244613,0.0743876476491183,"Non-significant"
"4081","X89457_478.425_12.019_NA",6,13.4615754231176,2.24359590385293,2.34472505316304,0.0334183570755866,0.0744522672215716,"Non-significant"
"4082","X86257_1124.619_11.062_NA",6,13.4592082814424,2.2432013802404,2.34427922418886,0.0334496825939472,0.074503800623265,"Non-significant"
"4083","X41583_284.185_5.741_NCGC00384597-01!3a,8-dihydroxy-3,5a,9-trimethyl-4,5,6,7,8,9b-hexahydro-3H-benzo[g][1]benzofuran-2-one;""6-aminododecanedioic acid, chloride CollisionEnergy:102040""",6,13.458434860291,2.24307247671517,2.34413356031899,0.0334599235603573,0.0745083578277661,"Non-significant"
"4084","X92021_1005.241_12.926_NA",6,13.4544654066472,2.24241090110786,2.34338598648759,0.0335125294699448,0.0746072277034128,"Non-significant"
"4085","X92298_756.492_13.041_NA;SQDG(16:0/14:0); [M+NH4]+ C39H78N1O12S1",6,13.4530419849554,2.24217366415923,2.34311791983695,0.0335314123441677,0.0746309916849872,"Non-significant"
"4086","X66870_461.251_8.702_NA",6,13.443797653857,2.24063294230949,2.34137708842277,0.0336542869507318,0.0748861421820983,"Non-significant"
"4087","X71254_508.326_9.495_NA",6,13.4425670889053,2.24042784815088,2.34114537121534,0.0336706750044459,0.0748896045458729,"Non-significant"
"4088","X25707_411.164_4.407_NA",6,13.4424438464997,2.24040730774995,2.34112216467715,0.0336723166941848,0.0748896045458729,"Non-significant"
"4089","X62969_470.108_8.118_NA",6,13.4397536404948,2.23995894008247,2.34061560764293,0.0337081709800573,0.0749396093010059,"Non-significant"
"4090","X63948_627.483_8.26_NA",6,13.4390048642674,2.23983414404457,2.3404746184452,0.0337181567625082,0.0749396093010059,"Non-significant"
"4091","X56181_368.243_7.243_NA",6,13.4389021162769,2.23981701937949,2.3404552718344,0.0337195272382771,0.0749396093010059,"Non-significant"
"4092","X6238_249.123_2.544_NA",6,13.4327172563464,2.23878620939107,2.33929075724655,0.033802117691682,0.0751048030431996,"Non-significant"
"4093","X81175_620.379_10.543_NA",6,13.4284736834025,2.23807894723375,2.33849180764981,0.0338588935707531,0.0752125727694325,"Non-significant"
"4094","X12222_356.134_3.01_NA",6,13.4109474733041,2.23515791221735,2.33519253183276,0.0340943213319004,0.0757170419026963,"Non-significant"
"4095","X91552_260.237_12.576_NA",6,13.4064121523329,2.23440202538881,2.33433888000458,0.0341554910420585,0.0758343649705486,"Non-significant"
"4096","X23717_349.164_4.154_NA",6,13.400528704476,2.23342145074599,2.33323154932983,0.034234995402378,0.0759923286617238,"Non-significant"
"4097","X2242_296.135_0.978_NA",6,13.3935632379011,2.23226053965019,2.33192067234831,0.0343293435552673,0.0761831563594069,"Non-significant"
"4098","X86406_659.385_11.089_NA",6,13.3872438209779,2.23120730349632,2.33073147510214,0.0344151497771951,0.0763549394275884,"Non-significant"
"4099","X91050_1146.325_12.486_NA;Contaminant vial septum ThermoFisher C5000-44B",6,13.3852450886546,2.23087418144243,2.33035536958127,0.0344423303758695,0.0763966010679203,"Non-significant"
"4100","X89136_743.469_11.916_NA",6,13.38125029734,2.23020838289001,2.3296036887892,0.0344967149747872,0.0764985689148208,"Non-significant"
"4101","X55045_235.133_7.108_NA;Spectral Match to Jasmine lactone from NIST14",6,13.3794989506498,2.22991649177497,2.32927415768487,0.0345205827312256,0.076532830576031,"Non-significant"
"4102","X70412_531.255_9.241_NA",6,13.3710660007557,2.22851100012595,2.32768752242013,0.0346357237767985,0.0767693809309244,"Non-significant"
"4103","X88898_772.273_11.816_NA;Contaminants septum",6,13.3673124301516,2.22788540502526,2.32698135086913,0.0346870885506027,0.0768644916163978,"Non-significant"
"4104","X44472_457.026_5.919_NA",6,13.3662807173213,2.22771345288689,2.32678725695762,0.0347012191480733,0.0768770673719011,"Non-significant"
"4105","X67227_419.139_8.745_NA",6,13.3652607910523,2.22754346517539,2.32659538280316,0.0347151935677105,0.0768811379017802,"Non-significant"
"4106","X74834_433.353_9.759_NA",6,13.3645489067254,2.22742481778757,2.32646146059789,0.0347249504772702,0.0768811379017802,"Non-significant"
"4107","X5514_236.164_2.243_NA",6,13.364295497253,2.2273825828755,2.3264137885867,0.0347284242589761,0.0768811379017802,"Non-significant"
"4108","X878_306.206_0.657_NA",6,13.3631696864419,2.22719494774032,2.32620200006047,0.034743860973481,0.0768965881136537,"Non-significant"
"4109","X88700_460.399_11.783_NA",6,13.3607486077996,2.22679143463327,2.32574655435623,0.0347770795223308,0.0769356325612289,"Non-significant"
"4110","X2873_264.123_1.122_NA",6,13.3606505122204,2.22677508537007,2.32572810120486,0.0347784260698032,0.0769356325612289,"Non-significant"
"4111","X62888_203.143_8.109_NA;Spectral Match to (-)-Perillyl alcohol from NIST14",6,13.3587648169856,2.22646080283094,2.3253733797878,0.0348043202171924,0.0769359542463226,"Non-significant"
"4112","X86854_710.504_11.219_NA",6,13.35805656878,2.22634276146334,2.32524015206986,0.0348140504225573,0.0769359542463226,"Non-significant"
"4113","X40210_242.175_5.549_NA",6,13.3578605424429,2.22631009040716,2.32520327799272,0.0348167439593021,0.0769359542463226,"Non-significant"
"4114","X22370_191.106_4.045_NA",6,13.3575622943757,2.22626038239595,2.32514717538127,0.0348208424641084,0.0769359542463226,"Non-significant"
"4115","X31913_297.133_4.844_NA",6,13.3574893103878,2.22624821839797,2.32513344659778,0.0348218454733632,0.0769359542463226,"Non-significant"
"4116","X62110_275.164_8.004_NA;asterolide",6,13.3563290437366,2.22605484062277,2.32491519419069,0.0348377944673541,0.0769359542463226,"Non-significant"
"4117","X81603_409.353_10.492_NA;2'-Hydroxy-a-naphthoflavone CollisionEnergy:102040",6,13.3563282730879,2.22605471218132,2.32491504922853,0.0348378050629246,0.0769359542463226,"Non-significant"
"4118","X36385_411.165_5.291_NA",6,13.3540017954635,2.22566696591058,2.32447743547109,0.0348698052065754,0.0769879234915453,"Non-significant"
