"","Comparison","Z","P.unadj","P.adj","significant"
"X55117_470.295_7.114_NA","La_Jolla Reefs - Mission_Bay",-4.33582149946758,1.4521675393611e-05,0.000304955183265832,"Significant"
"X67092_345.169_8.727_NA.NCGC00380990.01..2E.4E..12.hydroxy.13..hydroxymethyl..14.methoxy.3.5.7.trimethyl.14.oxotetradeca.2.4.dienoic.acid..IIN.based.on..CCMSLIB00000847299.","La_Jolla Reefs - Mission_Bay",-4.32903172242654,1.4976636199298e-05,0.000314509360185259,"Significant"
"X77328_445.313_10.015_NA","La_Jolla Reefs - Mission_Bay",-4.32337951630695,1.53657069439123e-05,0.000322679845822158,"Significant"
"X51776_530.352_6.75_NA","La_Jolla Reefs - Mission_Bay",-4.31546109006784,1.59270105446199e-05,0.000334467221437019,"Significant"
"X32620_410.265_4.901_NA","La_Jolla Reefs - Mission_Bay",-4.31546109006784,1.59270105446199e-05,0.000334467221437019,"Significant"
"X33786_562.306_5.006_NA","La_Jolla Reefs - Mission_Bay",-4.31319931800806,1.60908929299935e-05,0.000337908751529863,"Significant"
"X89670_1148.324_12.008_NA..2S.3S.4S.5R.6R..6....3S.4S.6aR.6bS.8R.8aR.9R.10R.12aS.14bR..8a..acetyloxymethyl..8.9.dihydroxy.4..hydroxymethyl..4.6a.6b.11.11.14b.hexamethyl.10...E..2.methylbut.2.enoyl.oxy.1.2.3.4a.5.6.7.8.9.10.12.12a.14.14a.tetradecahydropicen.3.yl.oxy..4.hydroxy.3.5.bis...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.oxane.2.carboxylic.acid","La_Jolla Reefs - Mission_Bay",4.31207065019054,1.61732733593672e-05,0.00033963874054671,"Significant"
"X77657_472.363_10.105_NA","La_Jolla Reefs - Mission_Bay",-4.31093754594827,1.62563818886841e-05,0.000341384019662366,"Significant"
"X56682_249.148_7.304_NA.Parthenolide..M.NH4..","La_Jolla Reefs - Mission_Bay",-4.3064140018287,1.65922392340857e-05,0.0003484370239158,"Significant"
"X82572_466.352_10.601_NA","La_Jolla Reefs - Mission_Bay",-4.14696547145447,3.36910847596308e-05,0.000353756389976123,"Significant"
"X60635_528.336_7.809_NA","La_Jolla Reefs - Mission_Bay",-4.29963089746248,1.71082804056895e-05,0.000359273888519479,"Significant"
"X27492_504.3_4.378_NA","La_Jolla Reefs - Mission_Bay",-4.0463206224914,5.20289594094698e-05,0.000364202715866289,"Significant"
"X63855_690.499_8.263_NA","La_Jolla Reefs - Mission_Bay",-4.13791411199768,3.50477509201481e-05,0.000368001384661555,"Significant"
"X40469_214.112_5.571_NA","La_Jolla Reefs - Mission_Bay",-4.04065786339648,5.33014716039856e-05,0.000373110301227899,"Significant"
"X25182_246.17_4.286_NA","La_Jolla Reefs - Mission_Bay",-4.28605805329065,1.8187147928509e-05,0.000381930106498688,"Significant"
"X35378_383.264_5.144_NA","La_Jolla Reefs - Mission_Bay",-4.28153891418473,1.85605257217905e-05,0.000389771040157601,"Significant"
"X53841_247.133_6.958_NA","La_Jolla Reefs - Mission_Bay",-4.28153450917108,1.85608932074354e-05,0.000389778757356144,"Significant"
"X24367_503.306_4.208_Spectral.Match.to.Undecaethylene.glycol.from.NIST14.Spectral.Match.to.Nonaethylene.glycol.from.NIST14","La_Jolla Reefs - Mission_Bay",-4.02821603847527,5.62016883564597e-05,0.000393411818495218,"Significant"
"X91776_832.24_12.836_NA..3S.4R..7.hydroxy.3...3S.4R..7.hydroxy.4..4.hydroxyphenyl..2.oxo.5...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.3.4.dihydrochromen.3.yl..4..4.hydroxyphenyl..5...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.3.4.dihydrochromen.2.one","La_Jolla Reefs - Mission_Bay",4.02595426641549,5.67447178528854e-05,0.000397213024970198,"Significant"
"X77078_468.295_9.991_NA","La_Jolla Reefs - Mission_Bay",-4.27474919299173,1.91352578384586e-05,0.000401840414607631,"Significant"
