"","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","p_BH","significant"
"X17605_281.149_3.616_NA",-1.12451092093304,-0.374836973644346,0.749673947288692,-6.91563138006458,1.27178914192022e-09,75.9091184245222,-1.44837158406634,-0.800650257799739,"Welch Two Sample t-test","two.sided",6.30485653126427e-09,"Significant"
"X89240_759.221_11.965_Azadirachtin;2,2,6b,9,9,12a-hexamethyl-4a-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-10-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-6a-carboxylic acid",0.702786780140626,0.234262260046875,-0.468524520093751,6.54081762107753,1.27911727532825e-09,129.966924540604,0.490216578719695,0.915356981561557,"Welch Two Sample t-test","two.sided",6.33772984593159e-09,"Significant"
"X74757_649.465_9.748_NA",0.699341661487069,0.233113887162356,-0.466227774324713,6.56264964342787,1.28411602898377e-09,124.370214841819,0.488428002720111,0.910255320254028,"Welch Two Sample t-test","two.sided",6.35903209995665e-09,"Significant"
"X90895_556.456_12.493_NA",-1.27805883850813,-0.426019612836045,0.852039225672089,-7.17866650792572,1.29152989837696e-09,59.5075014878761,-1.63424387086178,-0.921873806154488,"Welch Two Sample t-test","two.sided",6.38977954679646e-09,"Significant"
"X61638_322.274_7.954_NA",0.723230678258181,0.241076892752727,-0.482153785505454,6.45474337970139,1.29173062109678e-09,156.55245505984,0.501912953773516,0.944548402742847,"Welch Two Sample t-test","two.sided",6.38977954679646e-09,"Significant"
"X80813_367.209_10.398_NA",0.696562577881282,0.232187525960427,-0.464375051920854,6.58183379911067,1.29345265978942e-09,119.687680295765,0.487018836171135,0.906106319591429,"Welch Two Sample t-test","two.sided",6.39481869646843e-09,"Significant"
"X65774_278.175_8.53_NA;Spectral Match to Dihydrokavain from NIST14",0.707899310719402,0.235966436906467,-0.471932873812935,6.50901307772436,1.29547339798733e-09,138.072498411991,0.492855140909733,0.922943480529072,"Welch Two Sample t-test","two.sided",6.39864558372604e-09,"Significant"
"X34912_274.18_5.097_NA",-1.097408168415,-0.365802722804999,0.731605445609999,-6.86456488368518,1.29563424105143e-09,79.9151689098868,-1.41555614727418,-0.779260189555816,"Welch Two Sample t-test","two.sided",6.39864558372604e-09,"Significant"
"X72742_302.178_9.512_NA",0.695879173118682,0.231959724372894,-0.463919448745788,6.58158208805366,1.31505762442681e-09,119.01495900787,0.48652092651486,0.905237419722503,"Welch Two Sample t-test","two.sided",6.491044474098e-09,"Significant"
"X40629_295.19_5.593_NA",-1.28042719539671,-0.426809065132238,0.853618130264476,-7.17839741446211,1.31854658712167e-09,59.2733240632502,-1.63731489246108,-0.923539498332349,"Welch Two Sample t-test","two.sided",6.50473443847544e-09,"Significant"
"X53903_381.191_6.968_NA",0.827594136418621,0.275864712139541,-0.551729424279081,6.43235704882721,1.34385173041297e-09,162.493054049629,0.573530831711746,1.0816574411255,"Welch Two Sample t-test","two.sided",6.62340369290546e-09,"Significant"
"X64761_369.19_8.375_NA",-1.20700119789689,-0.402333732632298,0.804667465264596,-7.04907271127175,1.34405849245607e-09,65.7925737487331,-1.54888977869825,-0.865112617095537,"Welch Two Sample t-test","two.sided",6.62340369290546e-09,"Significant"
"X71642_649.465_9.398_NA",0.738277410925731,0.246092470308577,-0.492184940617154,6.41646177111937,1.34760832518036e-09,169.186295412857,0.511139426465992,0.965415395385471,"Welch Two Sample t-test","two.sided",6.63729950841810e-09,"Significant"
"X74381_520.311_9.686_NA",-1.28069231957489,-0.426897439858298,0.853794879716596,-7.1741799935578,1.34859850764184e-09,59.2013957284077,-1.63787279464399,-0.923511844505798,"Welch Two Sample t-test","two.sided",6.63858020112596e-09,"Significant"
"X63966_645.493_8.263_NA",0.700073690306451,0.233357896768817,-0.466715793537634,6.54103655868453,1.34937310460941e-09,127.203117037493,0.488287957959178,0.911859422653724,"Welch Two Sample t-test","two.sided",6.63879884583805e-09,"Significant"
"X53457_369.227_6.906_NA",-1.28154066851765,-0.427180222839216,0.854360445678432,-7.17372846783756,1.36090002817546e-09,59.1145151927461,-1.63899119527266,-0.924090141762634,"Welch Two Sample t-test","two.sided",6.69188915963834e-09,"Significant"
"X58937_226.18_7.579_NA;Spectral Match to 1,11-Undecanedicarboxylic acid from NIST14",0.695151200855346,0.231717066951782,-0.463434133903564,6.5710177738957,1.37674705848031e-09,119.28897819313,0.48568067355857,0.904621728152123,"Welch Two Sample t-test","two.sided",6.76615365173132e-09,"Significant"
"X90636_885.551_12.527_NA;Chlorophyll a",-1.25200237066207,-0.417334123554023,0.834668247108045,-7.12106548858632,1.37882453521397e-09,61.5072057674632,-1.60351100553152,-0.900493735792612,"Welch Two Sample t-test","two.sided",6.77270268728547e-09,"Significant"
"X3856_218.102_1.819_NA;N-ACETYL-MANNOSAMINE",0.708446030958357,0.236148676986119,-0.472297353972238,6.48684380793323,1.38811745047791e-09,140.676173887214,0.492535610796022,0.924356451120691,"Welch Two Sample t-test","two.sided",6.81466731087751e-09,"Significant"
"X89450_610.624_12.018_NA;Baccatin III",-1.28220220941949,-0.427400736473163,0.854801472946327,-7.16912581085486,1.39891406970365e-09,59.0008454196443,-1.64008125817651,-0.924323160662466,"Welch Two Sample t-test","two.sided",6.86396477158421e-09,"Significant"
"X2885_402.139_1.224_NA",-1.21034267896066,-0.403447559653553,0.806895119307106,-7.04681286838616,1.40012447209626e-09,65.3386562715172,-1.55333231142646,-0.867353046494854,"Welch Two Sample t-test","two.sided",6.86619832810099e-09,"Significant"
