Metabolite,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power,p-bh,Significance
X51967_300.18_6.734_nan,-6.882199496200007,152.83260885224692,two-sided,1.426543415808537e-10,[-1.16 -0.64],0.9862005219145725,8.072e+07,0.9999889913402888,8.050982455947374e-10,True
X90457_747.522_12.343_nan,-7.0189616970059125,119.00636297696181,two-sided,1.4787953865631238e-10,[-0.95 -0.53],0.7836518012384843,1.665e+08,0.9985080212635287,8.340699537612855e-10,True
X120_214.004_0.55_nan,7.110774963326399,104.47021944805803,two-sided,1.4853851535934276e-10,[0.75 1.32],1.1786526365032464,2.72e+08,0.9999999753543769,8.372673165822346e-10,True
X38320_372.201_5.39_nan,7.621091228165174,63.881016668382614,two-sided,1.51735388593279e-10,[0.95 1.63],1.6152080801160908,4.448e+09,0.9999999999999999,8.547572200062532e-10,True
X16422_325.175_3.478_nan,-6.8848659763553375,148.45797518036585,two-sided,1.5208664508752314e-10,[-0.97 -0.54],0.8063899337659285,8.186e+07,0.9990721564013229,8.562054347589848e-10,True
X73217_582.436_9.575_nan,-6.928472362763584,136.79748727085988,two-sided,1.5226986901735299e-10,[-0.96 -0.54],0.7957287312032649,1.03e+08,0.9988379463252881,8.567064660308004e-10,True
"X66936_368.243_8.744_nan;9-hydroxy-7-(2-hydroxypropan-2-yl)-1,4a-dimethyl-2,3,4,9,10,10a-hexahydrophenanthrene-1-carboxylic acid",7.6774869270239146,61.2937309568061,two-sided,1.5359630721734989e-10,[0.98 1.66],1.6740556443667256,6.097e+09,1.0,8.636348950031819e-10,True
X68839_769.463_9.006_nan,-6.928267641230475,136.0739493697621,two-sided,1.5482727631023337e-10,[-0.96 -0.53],0.7947726530553354,1.029e+08,0.998814494724193,8.700182918495931e-10,True
X84516_460.293_10.962_nan,7.587044930224619,65.19204946932672,two-sided,1.5549161011663987e-10,[0.94 1.61],1.5867473209388607,3.679e+09,0.9999999999999994,8.732116857198825e-10,True
X88917_387.268_11.836_nan,-6.883052798828323,147.11298462334645,two-sided,1.5742379206884937e-10,[-0.97 -0.54],0.8042804059440584,8.108e+07,0.9990295766217528,8.835167391913447e-10,True
